,autovalores
"('sourcebus.1',)",0.09621006671621878
"('sourcebus.2',)",0.13329982863867101
"('sourcebus.3',)",0.17505042417039515
"('800.1',)",0.09695633634587568
"('800.2',)",0.13434013800559536
"('800.3',)",0.17641212306168536
"('802.1',)",2.3822449454725088
"('802.2',)",2.4552767870882404
"('802.3',)",3.7766297377319265
"('806.1',)",3.402611337849563
"('806.2',)",3.305105178976941
"('806.3',)",5.6945933766089505
"('808.1',)",5.8238453316777585
"('808.2',)",6.5218373646531775
"('808.3',)",4.986907470547453
"('810.2',)",5.451684772995402
"('812.1',)",4.323521517863392
"('812.2',)",4.469612515053071
"('812.3',)",4.93846647930479
"('814.1',)",6.730528937018717
"('814.2',)",7.674540728452055
"('814.3',)",6.915968910251904
"('814r.1',)",6.843564036857378
"('814r.2',)",9.06105447643032
"('814r.3',)",10.748359951166384
"('850.1',)",8.989572093285082
"('850.2',)",11.69610044077143
"('850.3',)",13.628895268957558
"('816.1',)",13.040979129426544
"('816.2',)",20.12935550672628
"('816.3',)",15.68378110768088
"('818.1',)",22.407626293171084
"('824.1',)",16.284681355673303
"('824.2',)",18.15635315490004
"('824.3',)",27.328531360058587
"('820.1',)",32.46714348062054
"('822.1',)",29.898938935979864
"('826.2',)",21.002598399650736
"('828.1',)",21.678235880782438
"('828.2',)",23.863063486095395
"('828.3',)",29.138209526040303
"('830.1',)",29.995762400312127
"('830.2',)",39.38210919992934
"('830.3',)",42.34753727653907
"('854.1',)",44.41411079389329
"('854.2',)",48.27740802388307
"('854.3',)",53.64992571777412
"('832.1',)",54.316754209962276
"('832.2',)",47.93220476386204
"('832.3',)",61.696856366124
"('858.1',)",65.48314669227926
"('858.2',)",58.37390291426032
"('858.3',)",57.4451975013584
"('834.1',)",62.410140037736525
"('834.2',)",62.34339672077945
"('834.3',)",79.0726160871558
"('860.1',)",93.17692639032893
"('860.2',)",112.59483500124448
"('860.3',)",122.81371982770159
"('842.1',)",140.78046254103108
"('842.2',)",148.09341881434258
"('842.3',)",176.0616473524281
"('836.1',)",168.46138164780373
"('836.2',)",165.60796277084523
"('836.3',)",214.17043029962875
"('840.1',)",235.74201664379592
"('840.2',)",300.5098203173829
"('840.3',)",264.45581735113007
"('862.1',)",270.4273862275177
"('862.2',)",276.8679880332829
"('862.3',)",327.93050691893575
"('844.1',)",374.1084963494969
"('844.2',)",365.09562145798503
"('844.3',)",440.41085685186334
"('846.1',)",493.09680107333577
"('846.2',)",694.9345277544347
"('846.3',)",591.484804709088
"('848.1',)",888.5022529665533
"('848.2',)",1070.918164375774
"('848.3',)",1147.8401716550236
"('852r.1',)",2001.4541328522428
"('852r.2',)",1942.921698683016
"('852r.3',)",1378.013053315237
"('888.1',)",354.36177059152067
"('888.2',)",17557.578692717856
"('888.3',)",20977.006225882134
"('856.2',)",5557.322966159238
"('852.1',)",5346.631387477894
"('852.2',)",6458.596107556723
"('852.3',)",464.94649394789235
"('864.1',)",573.3552417254027
"('838.2',)",814.1707420746408
"('890.1',)",27026.389832901066
"('890.2',)",8175.924870729865
"('890.3',)",1589.0837900794625
